theta, phi, alpha_t, alpha_p
0.000000,0.000000,0.999650,-0.000000
0.000000,1.809045,0.999151,-0.031557
0.000000,3.618090,0.997657,-0.063083
0.000000,5.427136,0.995169,-0.094546
0.000000,7.236181,0.991688,-0.125915
0.000000,9.045226,0.987219,-0.157158
0.000000,10.854271,0.981765,-0.188245
0.000000,12.663317,0.975333,-0.219144
0.000000,14.472362,0.967930,-0.249825
0.000000,16.281407,0.959560,-0.280256
0.000000,18.090452,0.950234,-0.310408
0.000000,19.899497,0.939962,-0.340251
0.000000,21.708543,0.928752,-0.369755
0.000000,23.517588,0.916617,-0.398890
0.000000,25.326633,0.903567,-0.427627
0.000000,27.135678,0.889617,-0.455938
0.000000,28.944724,0.874781,-0.483795
0.000000,30.753769,0.859072,-0.511169
0.000000,32.562814,0.842506,-0.538034
0.000000,34.371859,0.825102,-0.564362
0.000000,36.180905,0.806875,-0.590128
0.000000,37.989950,0.787843,-0.615306
0.000000,39.798995,0.768025,-0.639870
0.000000,41.608040,0.747443,-0.663796
0.000000,43.417085,0.726116,-0.687062
0.000000,45.226131,0.704064,-0.709641
0.000000,47.035176,0.681310,-0.731514
0.000000,48.844221,0.657878,-0.752657
0.000000,50.653266,0.633790,-0.773050
0.000000,52.462312,0.609070,-0.792673
0.000000,54.271357,0.583742,-0.811505
0.000000,56.080402,0.557833,-0.829528
0.000000,57.889447,0.531369,-0.846725
0.000000,59.698492,0.504374,-0.863078
0.000000,61.507538,0.476876,-0.878569
0.000000,63.316583,0.448903,-0.893186
0.000000,65.125628,0.420483,-0.906912
0.000000,66.934673,0.391643,-0.919734
0.000000,68.743719,0.362413,-0.931639
0.000000,70.552764,0.332822,-0.942615
0.000000,72.361809,0.302899,-0.952652
0.000000,74.170854,0.272674,-0.961740
0.000000,75.979899,0.242177,-0.969868
0.000000,77.788945,0.211439,-0.977030
0.000000,79.597990,0.180490,-0.983218
0.000000,81.407035,0.149362,-0.988426
0.000000,83.216080,0.118084,-0.992648
0.000000,85.025126,0.086688,-0.995881
0.000000,86.834171,0.055207,-0.998121
0.000000,88.643216,0.023670,-0.999367
0.000000,90.452261,-0.007891,-0.999615
0.000000,92.261307,-0.039443,-0.998868
0.000000,94.070352,-0.070956,-0.997125
0.000000,95.879397,-0.102399,-0.994389
0.000000,97.688442,-0.133739,-0.990660
0.000000,99.497487,-0.164947,-0.985944
0.000000,101.306533,-0.195989,-0.980246
0.000000,103.115578,-0.226837,-0.973571
0.000000,104.924623,-0.257458,-0.965924
0.000000,106.733668,-0.287822,-0.957315
0.000000,108.542714,-0.317900,-0.947752
0.000000,110.351759,-0.347661,-0.937244
0.000000,112.160804,-0.377075,-0.925802
0.000000,113.969849,-0.406113,-0.913436
0.000000,115.778894,-0.434747,-0.900161
0.000000,117.587940,-0.462947,-0.885988
0.000000,119.396985,-0.490686,-0.870932
0.000000,121.206030,-0.517935,-0.855007
0.000000,123.015075,-0.544669,-0.838231
0.000000,124.824121,-0.570859,-0.820619
0.000000,126.633166,-0.596480,-0.802189
0.000000,128.442211,-0.621507,-0.782959
0.000000,130.251256,-0.645914,-0.762949
0.000000,132.060302,-0.669678,-0.742178
0.000000,133.869347,-0.692774,-0.720667
0.000000,135.678392,-0.715178,-0.698438
0.000000,137.487437,-0.736871,-0.675513
0.000000,139.296482,-0.757829,-0.651915
0.000000,141.105528,-0.778031,-0.627666
0.000000,142.914573,-0.797458,-0.602792
0.000000,144.723618,-0.816090,-0.577317
0.000000,146.532663,-0.833908,-0.551267
0.000000,148.341709,-0.850895,-0.524667
0.000000,150.150754,-0.867034,-0.497544
0.000000,151.959799,-0.882309,-0.469925
0.000000,153.768844,-0.896704,-0.441838
0.000000,155.577889,-0.910205,-0.413310
0.000000,157.386935,-0.922799,-0.384370
0.000000,159.195980,-0.934473,-0.355047
0.000000,161.005025,-0.945216,-0.325370
0.000000,162.814070,-0.955016,-0.295369
0.000000,164.623116,-0.963864,-0.265073
0.000000,166.432161,-0.971752,-0.234514
0.000000,168.241206,-0.978672,-0.203720
0.000000,170.050251,-0.984615,-0.172723
0.000000,171.859296,-0.989576,-0.141554
0.000000,173.668342,-0.993552,-0.110244
0.000000,175.477387,-0.996537,-0.078825
0.000000,177.286432,-0.998529,-0.047326
0.000000,179.095477,-0.999525,-0.015781
0.000000,180.904523,-0.999525,0.015781
0.000000,182.713568,-0.998529,0.047326
0.000000,184.522613,-0.996537,0.078825
0.000000,186.331658,-0.993552,0.110244
0.000000,188.140704,-0.989576,0.141554
0.000000,189.949749,-0.984615,0.172723
0.000000,191.758794,-0.978672,0.203720
0.000000,193.567839,-0.971752,0.234514
0.000000,195.376884,-0.963864,0.265073
0.000000,197.185930,-0.955016,0.295369
0.000000,198.994975,-0.945216,0.325370
0.000000,200.804020,-0.934473,0.355047
0.000000,202.613065,-0.922799,0.384370
0.000000,204.422111,-0.910205,0.413310
0.000000,206.231156,-0.896704,0.441838
0.000000,208.040201,-0.882309,0.469925
0.000000,209.849246,-0.867034,0.497544
0.000000,211.658291,-0.850895,0.524667
0.000000,213.467337,-0.833908,0.551267
0.000000,215.276382,-0.816090,0.577317
0.000000,217.085427,-0.797458,0.602792
0.000000,218.894472,-0.778031,0.627666
0.000000,220.703518,-0.757829,0.651915
0.000000,222.512563,-0.736871,0.675513
