theta, D_tt, D_pp
0.000000,1.054815,1.057499
0.452261,1.054812,1.057488
0.904523,1.054803,1.057459
1.356784,1.054791,1.057417
1.809045,1.054777,1.057369
2.261307,1.054758,1.057303
2.713568,1.054731,1.057210
3.165829,1.054699,1.057099
3.618090,1.054664,1.056979
4.070352,1.054625,1.056843
4.522613,1.054579,1.056686
4.974874,1.054529,1.056512
5.427136,1.054475,1.056326
5.879397,1.054416,1.056124
6.331658,1.054351,1.055902
6.783920,1.054282,1.055663
7.236181,1.054208,1.055411
7.688442,1.054130,1.055143
8.140704,1.054046,1.054855
8.592965,1.053957,1.054551
9.045226,1.053864,1.054232
9.497487,1.053765,1.053897
9.949749,1.053661,1.053543
10.402010,1.053552,1.053172
10.854271,1.053439,1.052787
11.306533,1.053320,1.052385
11.758794,1.053196,1.051964
12.211055,1.053066,1.051526
12.663317,1.052932,1.051073
13.115578,1.052793,1.050603
13.567839,1.052647,1.050114
14.020101,1.052496,1.049609
14.472362,1.052341,1.049088
14.924623,1.052179,1.048549
15.376884,1.052012,1.047991
15.829146,1.051839,1.047417
16.281407,1.051661,1.046827
16.733668,1.051478,1.046218
17.185930,1.051288,1.045591
17.638191,1.051092,1.044946
18.090452,1.050891,1.044286
18.542714,1.050684,1.043606
18.994975,1.050470,1.042908
19.447236,1.050251,1.042193
19.899497,1.050025,1.041460
20.351759,1.049794,1.040709
20.804020,1.049555,1.039939
21.256281,1.049311,1.039150
21.708543,1.049060,1.038345
22.160804,1.048803,1.037520
22.613065,1.048538,1.036676
23.065327,1.048267,1.035814
23.517588,1.047990,1.034933
23.969849,1.047705,1.034033
24.422111,1.047413,1.033114
24.874372,1.047114,1.032175
25.326633,1.046809,1.031218
25.778894,1.046495,1.030242
26.231156,1.046174,1.029244
26.683417,1.045846,1.028228
27.135678,1.045510,1.027192
27.587940,1.045166,1.026137
28.040201,1.044814,1.025060
28.492462,1.044454,1.023963
28.944724,1.044086,1.022847
29.396985,1.043710,1.021709
29.849246,1.043325,1.020550
30.301508,1.042932,1.019371
30.753769,1.042530,1.018171
31.206030,1.042118,1.016950
31.658291,1.041698,1.015706
32.110553,1.041269,1.014441
32.562814,1.040830,1.013155
33.015075,1.040382,1.011846
33.467337,1.039923,1.010515
33.919598,1.039455,1.009161
34.371859,1.038977,1.007786
34.824121,1.038488,1.006387
35.276382,1.037989,1.004964
35.728643,1.037479,1.003518
36.180905,1.036959,1.002050
36.633166,1.036427,1.000557
37.085427,1.035884,0.999039
37.537688,1.035329,0.997497
37.989950,1.034762,0.995932
38.442211,1.034183,0.994340
38.894472,1.033592,0.992724
39.346734,1.032988,0.991081
39.798995,1.032372,0.989414
40.251256,1.031742,0.987720
40.703518,1.031099,0.985999
41.155779,1.030442,0.984252
41.608040,1.029771,0.982478
42.060302,1.029085,0.980675
42.512563,1.028385,0.978845
42.964824,1.027670,0.976987
43.417085,1.026940,0.975100
43.869347,1.026193,0.973184
44.321608,1.025431,0.971238
44.773869,1.024652,0.969263
45.226131,1.023856,0.967257
45.678392,1.023043,0.965221
46.130653,1.022212,0.963153
46.582915,1.021363,0.961053
47.035176,1.020496,0.958921
47.487437,1.019609,0.956756
47.939698,1.018703,0.954558
48.391960,1.017776,0.952326
48.844221,1.016830,0.950059
49.296482,1.015861,0.947758
49.748744,1.014871,0.945420
50.201005,1.013859,0.943046
50.653266,1.012824,0.940635
51.105528,1.011766,0.938187
51.557789,1.010683,0.935700
52.010050,1.009575,0.933174
52.462312,1.008442,0.930608
52.914573,1.007283,0.928001
53.366834,1.006096,0.925353
53.819095,1.004882,0.922662
54.271357,1.003639,0.919928
54.723618,1.002366,0.917150
55.175879,1.001063,0.914326
55.628141,0.999729,0.911457
56.080402,0.998363,0.908540
56.532663,0.996963,0.905575
56.984925,0.995528,0.902560
57.437186,0.994059,0.899495
57.889447,0.992553,0.896378
58.341709,0.991009,0.893208
58.793970,0.989425,0.889983
59.246231,0.987802,0.886702
59.698492,0.986137,0.883364
60.150754,0.984429,0.879968
60.603015,0.982676,0.876511
61.055276,0.980877,0.872991
61.507538,0.979030,0.869408
61.959799,0.977133,0.865759
62.412060,0.975185,0.862043
62.864322,0.973184,0.858257
63.316583,0.971128,0.854399
63.768844,0.969014,0.850467
64.221106,0.966840,0.846459
64.673367,0.964604,0.842372
65.125628,0.962304,0.838203
65.577889,0.959936,0.833951
66.030151,0.957499,0.829612
66.482412,0.954989,0.825182
66.934673,0.952403,0.820659
67.386935,0.949738,0.816039
67.839196,0.946990,0.811320
68.291457,0.944155,0.806495
68.743719,0.941231,0.801561
69.195980,0.938211,0.796517
69.648241,0.935093,0.791355
70.100503,0.931871,0.786069
70.552764,0.928540,0.780655
71.005025,0.925095,0.775111
71.457286,0.921529,0.769427
71.909548,0.917837,0.763595
72.361809,0.914011,0.757611
72.814070,0.910046,0.751469
73.266332,0.905931,0.745159
73.718593,0.901660,0.738669
74.170854,0.897222,0.731992
74.623116,0.892610,0.725124
75.075377,0.887809,0.718048
75.527638,0.882809,0.710747
75.979899,0.877598,0.703213
76.432161,0.872163,0.695439
76.884422,0.866485,0.687402
77.336683,0.860547,0.679076
77.788945,0.854332,0.670452
78.241206,0.847822,0.661517
78.693467,0.840989,0.652236
79.145729,0.833802,0.642572
79.597990,0.826242,0.632510
80.050251,0.818277,0.622032
80.502513,0.809861,0.611079
80.954774,0.800944,0.599591
81.407035,0.791496,0.587547
81.859296,0.781467,0.574916
82.311558,0.770766,0.561591
82.763819,0.759307,0.547467
83.216080,0.747042,0.532517
83.668342,0.733877,0.516677
84.120603,0.719621,0.499727
84.572864,0.704081,0.481446
85.025126,0.687213,0.461772
85.477387,0.668793,0.440539
85.929648,0.648281,0.417303
86.381910,0.625135,0.391618
86.834171,0.600387,0.363421
87.286432,0.573032,0.332177
87.738693,0.538942,0.296607
88.190955,0.493984,0.255432
88.643216,0.419803,0.205385
89.095477,0.306097,0.144990
89.547739,0.162837,0.075957
90.000000,0.000000,0.000000
