Pe, phi, Phi
0.010000,-180.000000,0.160816
0.010000,-164.774648,0.160645
0.010000,-149.549297,0.160736
0.010000,-134.323945,0.160995
0.010000,-119.098593,0.161360
0.010000,-103.873241,0.161778
0.010000,-88.647890,0.162212
0.010000,-73.422538,0.162629
0.010000,-58.197186,0.163005
0.010000,-42.971835,0.163320
0.010000,-42.537776,0.163328
0.010000,-42.103717,0.163336
0.010000,-41.669658,0.163344
0.010000,-41.235599,0.163352
0.010000,-40.801540,0.163359
0.010000,-40.367481,0.163367
0.010000,-39.933422,0.163375
0.010000,-39.499363,0.163382
0.010000,-39.065304,0.163390
0.010000,-38.631245,0.163397
0.010000,-38.197186,0.163404
0.010000,-37.763127,0.163412
0.010000,-37.329068,0.163419
0.010000,-36.895010,0.163426
0.010000,-36.460951,0.163433
0.010000,-36.026892,0.163440
0.010000,-35.592833,0.163447
0.010000,-35.158774,0.163454
0.010000,-34.724715,0.163461
0.010000,-34.290656,0.163467
0.010000,-33.856597,0.163474
0.010000,-33.422538,0.163481
0.010000,-32.988479,0.163487
0.010000,-32.554420,0.163494
0.010000,-32.120361,0.163500
0.010000,-31.686302,0.163506
0.010000,-31.252243,0.163513
0.010000,-30.818184,0.163519
0.010000,-30.384125,0.163525
0.010000,-29.950067,0.163531
0.010000,-29.516008,0.163537
0.010000,-29.081949,0.163543
0.010000,-28.647890,0.163549
0.010000,-28.213831,0.163555
0.010000,-27.779772,0.163561
0.010000,-27.345713,0.163566
0.010000,-26.911654,0.163572
0.010000,-26.477595,0.163578
0.010000,-26.043536,0.163583
0.010000,-25.609477,0.163588
0.010000,-25.175418,0.163594
0.010000,-24.741359,0.163599
0.010000,-24.307300,0.163604
0.010000,-23.873241,0.163609
0.010000,-23.439183,0.163614
0.010000,-23.005124,0.163619
0.010000,-22.571065,0.163624
0.010000,-22.137006,0.163629
0.010000,-21.702947,0.163634
0.010000,-21.268888,0.163639
0.010000,-20.834829,0.163643
0.010000,-20.400770,0.163648
0.010000,-19.966711,0.163652
0.010000,-19.532652,0.163657
0.010000,-19.098593,0.163661
0.010000,-18.664534,0.163665
0.010000,-18.230475,0.163670
