phiSim, phiPrep, phiNoprep
-0.248577,0.001386,-0.771393
-51.214152,-50.969842,-50.936840
56.861903,56.592966,57.229869
12.003387,12.634480,12.836271
-30.842510,-28.126132,-30.967085
25.057285,25.164122,27.418112
-75.118037,-74.880261,-75.447749
82.787526,82.851442,82.551160
16.682447,19.692570,50.701962
-54.326862,-54.169550,-54.494248
-45.537258,-45.350130,-46.328887
-52.477755,-52.363212,-52.922800
2.883558,5.834965,-25.130733
27.852669,28.174712,32.305784
-59.413791,-59.172434,-59.582795
8.437834,7.000563,60.943744
35.137936,38.158425,34.820535
-59.391852,-59.421255,-59.510685
-15.182910,-15.754810,-14.997006
68.387590,68.166438,69.201053
-73.846460,-73.816160,-73.987661
-64.101891,-63.673269,-64.163720
-43.299634,-43.141740,-45.022509
-60.890622,-60.800506,-61.132662
-62.492282,-62.377641,-62.477325
-20.264813,-29.882882,-28.359679
0.364190,12.274286,6.246767
17.948013,18.120080,16.812272
-33.394882,-33.809998,-33.641788
-1.708927,-1.861141,-5.851164
74.277120,74.085781,72.525645
-0.205106,-0.142193,13.751065
51.959999,36.773216,44.558095
-36.218248,-40.474151,-36.127092
52.779772,52.800949,52.739576
-14.309699,-14.450182,-16.276546
23.335832,23.446011,22.831036
39.509965,39.698377,39.319612
-6.601056,-6.597755,1.139811
-30.901842,-33.389317,-31.797224
-9.826677,-10.033817,-14.425439
-0.549505,-0.119208,1.868222
4.309414,20.559977,61.788195
5.416104,5.512275,11.936909
53.586193,53.386596,53.821276
70.198491,69.930145,70.134349
-8.844223,-8.701331,-16.098539
-23.526801,-23.910777,-25.622150
19.846301,20.161305,30.218515
34.014493,33.897558,NaN
12.945593,12.882540,15.462337
33.900189,34.026545,33.956189
-33.685563,-33.650505,-40.878536
-16.076111,-16.242428,-16.686623
40.354401,40.733682,38.794578
23.689206,24.018589,NaN
63.975138,63.825854,65.624279
8.791358,8.704505,9.239107
29.824429,29.891234,32.186508
84.179858,84.104715,84.452053
73.825606,73.622826,73.927972
9.219485,9.264575,9.306501
28.903817,28.955169,32.762014
32.981078,34.023397,34.845620
47.439163,49.922224,54.530090
23.434307,23.564454,29.239023
-8.728827,-8.641613,-49.149063
5.706154,5.576547,10.552270
13.746642,14.600762,3.368373
-16.487205,-21.168471,-17.732804
-78.589692,-78.625381,-78.570292
69.083593,68.804297,69.105296
36.382820,36.558443,41.025139
67.870684,67.758671,68.823873
-72.632958,-72.267297,-75.189013
-57.964362,-58.092813,-60.999317
35.715286,39.205895,35.948930
-59.399355,-59.425283,-59.560605
27.615785,27.790918,32.005190
-16.246810,-16.471386,-21.108058
-15.162641,-3.311304,-15.068542
-10.191616,-10.176584,3.449586
50.128540,49.814108,52.424196
63.174604,62.782660,64.314643
59.531006,59.586329,59.541781
58.287553,58.030122,59.783614
44.574062,44.544152,52.962838
-2.762256,5.178549,1.269410
70.136619,NaN,70.857325
48.057378,47.820359,48.515538
-3.347944,-1.861502,-9.820457
69.752165,69.412735,72.029642
1.486413,1.367474,32.319979
22.881715,30.927725,22.959814
-30.330509,-30.736017,-28.757155
-28.218021,-28.463257,-31.113691
-0.207636,-0.116434,-8.765286
24.313564,24.530037,25.516037
3.349321,5.072451,34.960458
11.211327,11.203361,15.811727
19.861700,NaN,NaN
-72.136535,-71.894884,-72.239082
-37.970656,-38.187336,-34.794434
-33.124708,-33.282932,-31.551293
-79.417418,-79.165534,-79.372715
21.784605,21.825523,49.253660
-11.436892,-11.521170,-14.312553
13.735818,14.103173,20.356481
28.046364,28.227381,29.995382
-7.426946,-7.659555,-12.844662
39.042318,39.804851,51.820158
25.570435,25.695002,25.811933
28.695623,28.857371,28.875919
22.963508,24.128820,31.891299
-29.991019,-31.976861,-30.841742
-21.303952,-21.572071,-38.594471
-68.498357,-68.168781,-68.515529
54.209209,54.018544,53.303761
-14.380318,-14.666236,-19.012468
-31.107491,-31.446831,-31.968083
-4.244226,-5.534344,-3.484096
-51.058542,-50.825168,-50.346195
15.228205,15.455476,11.906789
-19.430656,-28.039611,-29.850938
49.828754,66.846100,60.823172
-43.305690,-44.010292,-45.482063
14.536768,14.713405,14.100443
-31.408796,-31.650390,-31.822315
28.593018,31.195742,38.273394
9.454515,9.492254,13.144000
12.507169,13.709444,-1.001112
-2.034949,0.035715,-2.823773
-26.199399,-26.343561,1.784193
22.636588,22.966507,23.494047
-8.478988,-8.410368,-10.300637
77.976770,77.701012,78.108469
43.244341,46.696987,45.713967
-10.691101,-10.836381,-16.329341
-9.485497,-9.474366,-10.612698
-12.543478,-12.831109,-32.102243
59.081586,59.401026,60.044003
-14.115148,-14.058333,5.079757
-18.240898,-18.295852,-25.192193
12.976348,12.881040,27.211642
