Pe_sim, Pe_prep, Pe_noprep
1.000000,1.915406,1.352369
3.990000,5.666102,4.731737
6.980000,9.202547,6.539498
9.970000,12.947876,8.817404
12.960000,13.986800,7.906016
15.950000,15.932687,9.624535
18.940000,25.868868,8.492099
21.930000,24.786069,14.061136
24.920000,28.410882,15.782762
27.910000,28.611422,12.577473
30.900000,24.897133,10.349081
33.890000,37.129133,12.788234
36.880000,55.262105,21.669010
39.870000,51.114671,12.395157
42.860000,47.361296,9.038773
45.850000,24.577392,15.020366
48.840000,59.107780,17.361428
51.830000,65.686767,14.189062
54.820000,60.129121,17.436480
57.810000,58.623857,19.417399
60.800000,67.376828,14.854859
63.790000,98.632156,27.088616
66.780000,57.161993,16.463294
69.770000,71.539718,28.227032
72.760000,76.282918,21.978337
75.750000,78.645515,24.723713
78.740000,70.514512,18.663487
81.730000,72.598640,18.334744
84.720000,90.082035,34.719682
87.710000,81.274984,26.587094
90.700000,70.723309,23.503194
93.690000,79.511871,29.464499
96.680000,111.984124,25.976704
99.670000,109.863806,24.409318
102.660000,160.482671,34.985533
105.650000,91.542756,21.676813
108.640000,114.665188,29.231708
111.630000,102.869522,38.099634
114.620000,189.645140,31.501721
117.610000,106.866941,32.470724
120.600000,104.788574,36.679598
123.590000,156.713598,47.934195
126.580000,113.454741,23.752219
129.570000,175.768063,35.058644
132.560000,133.706178,44.775022
135.550000,109.636737,31.632890
138.540000,128.422349,22.744524
141.530000,120.957988,37.619008
144.520000,127.346940,44.448165
147.510000,137.914169,43.030336
150.500000,228.126364,42.620127
153.490000,162.552250,25.904335
156.480000,125.657385,40.353648
159.470000,219.875076,30.150307
162.460000,184.529451,30.737623
165.450000,158.911954,32.753043
168.440000,135.346736,32.868983
171.430000,186.768899,48.490305
174.420000,238.640749,44.908266
177.410000,167.401468,36.519844
180.400000,142.220437,45.880130
183.390000,172.511782,34.918712
186.380000,244.908164,38.941094
189.370000,200.017385,39.142055
192.360000,224.624263,43.208039
195.350000,243.701438,67.149296
198.340000,205.263602,40.680414
