phiSim, phiPrep
-37.359376,-37.409407
85.888324,NaN
-14.242651,-2.836610
-4.874749,-5.805159
19.912212,20.143472
18.846882,18.762963
-21.646472,-17.116796
-39.705810,-39.915399
-66.501663,-66.316337
45.136248,45.169360
-13.800272,-13.761381
56.843075,56.577757
6.231007,8.567253
26.938053,27.292487
2.388967,-4.189960
-41.177911,-46.144828
-46.394402,-46.393170
46.736985,46.944776
28.479903,28.616765
-23.939621,-24.185252
-25.370033,-25.539153
43.482234,43.539983
-82.484153,-82.523000
-19.959919,-20.267327
8.204708,8.707810
64.094242,63.984011
7.714973,7.657452
4.923028,4.993596
-2.817112,-2.868812
-20.395008,-21.273884
5.250959,5.283816
-42.831862,-42.951021
72.806744,72.587521
-54.294189,-54.232184
56.151659,56.117844
18.754857,18.677992
-11.293873,-11.290678
-20.173943,-20.565891
76.536988,76.351282
-5.011183,-4.979201
-38.466718,-38.511594
59.717080,59.568839
-40.441982,NaN
54.306448,54.211893
59.452851,58.767709
45.283137,45.307675
-19.399305,-19.478236
83.086150,83.071446
-20.395192,-20.803361
-24.165935,-24.388275
1.964024,4.137498
-11.349602,-11.380136
44.596649,44.420829
-55.558927,-55.598154
27.212380,27.733213
-62.801872,-63.155499
-26.884185,-27.113835
69.726488,69.556001
54.273594,54.163946
13.315078,13.510231
77.138720,77.074396
71.639830,71.338563
-50.536666,-50.567389
-71.344405,-71.144721
-62.694231,-62.666141
18.471982,18.365210
37.906582,37.790796
-16.742610,-17.108750
-2.219044,1.193169
-49.384095,-49.304177
-38.646438,-38.698737
23.337468,23.287477
7.380599,26.463246
27.935123,28.249316
47.874180,47.753767
5.986109,5.952233
61.393509,61.246662
-3.159249,-3.177680
46.166706,46.090372
-14.491787,-14.836890
-26.010777,-25.025153
-52.915781,-50.120018
29.182143,29.321064
-13.608378,NaN
-25.161861,-25.470088
37.871328,37.933818
-18.862869,-7.281910
-22.032903,-22.370973
28.356651,28.467537
60.595063,60.277258
23.279533,23.307160
-37.328112,-37.449408
16.171646,15.982466
-14.863588,-15.157338
-20.294305,-20.660035
19.017894,18.967118
-6.431472,-6.476761
47.161995,47.056817
-4.088919,0.298139
26.479263,26.608732
-81.336992,-81.451271
55.157351,54.907708
-70.110067,-69.799802
31.170427,30.912178
-35.502099,-35.636420
20.285993,20.365056
-33.962527,-34.158504
-26.748956,-27.033648
-34.445489,-34.840782
4.401726,7.511681
-14.127819,0.276243
-36.425642,-36.663604
11.787860,13.526461
5.949844,NaN
-26.678136,-27.076721
40.148326,40.104240
-35.173046,NaN
-7.519630,-7.458919
-19.043459,-19.530127
13.955792,14.200500
1.149980,1.070519
12.007836,12.234485
68.933681,68.622219
-9.852111,-9.533092
-43.402349,-43.649176
36.748246,36.943087
-12.930177,-12.991551
-25.171667,-25.529613
33.145116,32.997804
-17.555184,-17.618980
-34.996617,-35.061429
-26.933365,-36.534880
58.671352,58.528110
14.622297,15.014797
-4.421637,-4.285001
27.312061,27.296317
-22.853389,-23.025737
0.329913,0.382810
16.784187,17.042520
38.707189,38.524965
35.796471,35.986109
-1.061084,-1.061866
25.591140,25.815560
16.837868,16.777515
39.320682,39.643370
8.039146,7.749349
-59.400926,-59.174708
33.016005,33.363169
-29.447756,-29.858468
60.576435,60.271529
-67.240100,-66.794614
47.913985,47.955870
-31.447922,-31.421143
85.425933,85.294594
-13.251885,-13.512992
89.822926,89.909555
-37.706205,-37.866138
19.445052,19.626435
25.325614,25.368927
9.469507,9.507352
-29.139327,-29.437595
-21.464858,-21.950094
-2.454087,-2.448277
15.019651,16.965301
-16.958304,-16.909840
-70.217785,-69.947272
-4.740821,-4.632669
20.553747,20.972852
-17.309623,-16.715315
-46.835941,NaN
-1.269776,0.100681
-31.710974,-32.032820
19.847767,19.998439
66.364919,66.057459
41.139059,41.540754
-55.795441,-55.529237
8.072124,8.038973
-21.929654,-22.264833
0.330950,0.304073
-9.956895,-10.064530
43.728718,43.682594
13.262890,14.485923
-5.900987,-5.831436
50.630917,50.403255
27.640970,29.981551
30.025364,30.109427
-67.029311,-44.356034
1.160065,0.998881
-56.114198,NaN
-2.793814,-2.747623
-9.043864,-9.241321
10.199632,10.080612
-2.810876,-2.965567
-22.485038,-22.729893
-16.441761,-16.415629
37.049905,NaN
-23.935920,-24.337831
2.069584,2.198694
40.885729,41.036193
33.213111,33.145038
49.602579,49.542107
-31.040940,-31.396686
-8.286511,-8.378944
86.157719,86.313208
-27.802829,-28.263646
-5.421065,-5.322333
-19.565991,-9.304019
-13.651632,-13.682525
-38.759299,-39.145792
-41.881984,-42.295897
-29.571331,-29.729119
-50.630882,-50.385188
36.621834,36.646554
-13.391213,-13.740207
12.615477,15.229239
4.097622,3.709723
42.182720,42.002357
-6.054889,-2.705333
-4.854781,41.850256
21.156642,21.346870
-4.598857,-4.784066
15.589503,15.529833
-19.588035,-19.961463
-43.572202,-43.559806
-17.063003,-17.030243
54.497859,54.396232
32.885131,32.726826
-60.462913,-60.471809
-3.732829,-3.275299
-35.869062,-36.123936
-22.711796,-19.793770
27.350047,27.511486
-11.131334,-11.214155
35.479302,35.416622
-27.854483,-28.293147
7.026474,14.706647
-47.008695,-47.075605
15.132475,21.905012
23.957475,23.882093
75.818798,75.645830
-12.814134,-15.708852
-22.582028,-22.950045
21.949758,22.201337
34.679207,34.595992
20.718026,20.915982
0.424954,0.159218
6.192259,6.346962
-16.604043,NaN
1.277430,2.517469
-53.149243,-53.008680
-8.096045,-8.275195
34.322636,34.178034
28.074694,29.960143
12.244772,12.450277
-21.083124,-21.180241
80.172131,79.888619
-0.189556,-0.113673
11.138408,13.945079
30.662988,30.793878
-22.307995,-22.551058
30.902571,31.341996
-34.699994,-35.013980
14.615735,14.851489
60.581153,60.138216
-8.781996,-12.726862
-71.078935,-70.831523
8.278646,NaN
12.645106,14.837343
-83.552591,NaN
7.039170,8.952676
-30.194905,-30.310320
-37.241210,-37.378703
-36.446962,-36.546679
24.347129,25.105880
25.652625,25.823106
-50.116692,-50.350807
-53.674923,-53.660889
-27.969279,NaN
-1.461871,-0.299129
-1.031141,-1.004685
25.218900,NaN
-9.185260,-9.094127
-11.591074,-11.839063
17.880675,18.345271
-29.183719,-29.268709
-28.631350,-30.540227
-19.155839,-19.226994
70.203081,70.022853
-41.607999,-41.869288
33.478736,33.387532
-8.608636,-3.435214
-18.792862,-18.899169
24.762961,25.006130
-24.899752,-25.320592
71.826658,71.792232
-4.446541,-4.536626
-24.676753,-24.898154
43.545290,43.583090
-38.010863,-38.391923
-0.541792,-0.500959
-49.986768,-49.813798
-10.995007,-10.270983
-22.928279,-23.478843
24.526871,32.176718
-8.441261,-0.111749
-29.235783,-29.548349
19.216331,19.395323
-56.009192,-55.914299
1.618943,2.362721
-9.885190,-1.314697
21.194455,NaN
-18.426590,-20.312397
-39.043519,NaN
-9.509111,-9.549252
16.715572,17.123129
7.447064,7.411370
40.893594,41.463850
-42.021352,-42.164336
-2.748512,-2.706920
-9.597856,-9.837770
0.123716,0.023212
52.917705,52.679942
0.503996,0.362057
16.228283,16.175429
28.276875,28.770628
-15.409132,-18.553915
15.633873,15.802618
1.385455,3.829667
-1.231869,-1.275045
15.938544,16.190930
-0.012010,0.111399
11.677056,11.880598
31.007365,31.082549
12.174224,13.408590
-2.287856,-2.468737
-19.575008,-19.711777
25.157406,25.232623
-33.265819,-33.529495
22.319099,23.282097
22.620807,22.410991
-42.518193,-42.462938
-25.727713,-26.093692
-15.334431,-16.541943
3.311716,3.384006
42.051853,41.968901
-10.305772,-10.538651
29.541575,29.622199
-18.926860,-19.394449
55.717519,55.718369
39.176123,39.001747
43.477648,43.946442
20.406407,20.543301
29.160284,29.306930
-3.080872,NaN
11.867793,12.039935
-11.477448,-11.526906
-55.386611,-55.347803
-4.114154,3.223766
-1.574749,-1.601759
28.467438,28.625532
-2.982635,-3.546675
-18.855030,-19.271191
-1.644966,-0.149849
28.418837,29.299303
8.966901,11.971748
33.339226,33.522443
16.854524,17.901887
-8.362555,-9.132301
9.756178,9.817261
-38.988595,-38.857544
23.525143,NaN
-40.975999,-40.969889
23.656866,35.767412
46.440026,46.430252
5.707519,5.913380
-22.118256,-22.506309
3.547502,3.470252
-10.933661,-2.955970
-26.811418,-27.009671
-24.209714,-24.446123
38.872128,39.174363
18.730832,18.804030
18.234286,18.348796
-0.233969,NaN
-26.366702,-26.733712
8.794118,8.843188
19.615034,19.834854
14.842872,21.181577
37.905509,NaN
9.145646,9.533637
-2.124380,-1.607389
-26.515088,-25.633377
-4.364531,-4.538289
22.465824,30.528622
31.459035,31.706415
35.438469,35.629198
31.792177,31.822036
11.497680,11.487963
14.760260,15.804101
17.518743,20.797449
-17.214790,-17.608318
-0.483532,-0.578114
45.076874,44.903945
-7.180997,-7.257209
-13.654836,-13.599860
21.453785,21.489490
-22.962624,-23.130714
-24.087699,-24.454364
-21.954340,-22.257494
6.896601,7.958740
