WSS, time,phi
0.000000,0.103306,-21.364109
0.000000,0.206612,-37.328479
0.000000,0.309917,-20.291752
0.000000,0.413223,-33.078469
0.000000,0.516529,-27.983081
0.000000,0.619835,-9.829430
0.000000,0.723140,-2.269062
0.000000,0.826446,-1.109046
0.000000,0.929752,2.875028
0.000000,1.033058,25.875088
0.000000,1.136364,13.594273
0.000000,1.239669,22.653956
0.000000,1.342975,32.098851
0.000000,1.446281,31.186185
0.000000,1.549587,13.613679
0.000000,1.652893,19.549831
0.000000,1.756198,32.447368
0.000000,1.859504,25.518924
0.000000,1.962810,33.024065
0.000000,2.066116,38.537424
0.000000,2.169421,31.963867
0.000000,2.272727,44.771261
0.000000,2.376033,22.920456
0.000000,2.479339,16.512724
0.000000,2.582645,27.390256
0.000000,2.685950,82.040056
0.000000,2.789256,-79.485314
0.000000,2.892562,-69.155237
0.000000,2.995868,-85.794765
0.000000,3.099174,68.939906
0.000000,3.202479,-76.309557
0.000000,3.305785,-50.095462
0.000000,3.409091,-62.004219
0.000000,3.512397,-51.635508
0.000000,3.615702,-52.069507
0.000000,3.719008,-51.274653
0.000000,3.822314,-58.525740
0.000000,3.925620,-73.085066
0.000000,4.028926,-72.931353
0.000000,4.132231,-78.265961
0.000000,4.235537,-78.227325
0.000000,4.338843,-84.827189
0.000000,4.442149,-85.795881
0.000000,4.545455,-74.861278
0.000000,4.648760,-51.849973
0.000000,4.752066,-57.980572
0.000000,4.855372,-3.693418
0.000000,4.958678,-53.789356
0.000000,5.061983,-1.778481
0.000000,5.165289,-82.232014
0.000000,5.268595,78.870028
0.000000,5.371901,87.126695
0.000000,5.475207,88.023264
0.000000,5.578512,84.028652
0.000000,5.681818,85.889472
0.000000,5.785124,85.643525
0.000000,5.888430,87.237943
0.000000,5.991736,23.313940
0.000000,6.095041,-25.800228
0.000000,6.198347,-85.178318
0.000000,6.301653,-17.773798
0.000000,6.404959,-24.502425
0.000000,6.508264,-14.881866
0.000000,6.714876,21.330812
0.000000,6.818182,58.660481
0.000000,6.921488,23.860985
0.000000,7.024793,-7.146419
0.000000,7.128099,3.663923
0.000000,7.231405,20.569365
0.000000,7.334711,-18.892460
0.000000,7.438017,-20.589596
0.000000,7.541322,-88.314049
0.000000,7.644628,-41.136302
0.000000,7.747934,-9.741326
0.000000,7.851240,58.489974
0.000000,7.954545,20.286352
0.000000,8.057851,-9.975993
0.000000,8.161157,-29.671384
0.000000,8.264463,-21.542256
0.000000,8.367769,-32.124581
0.000000,8.471074,-0.768043
0.000000,8.574380,21.334567
0.000000,8.677686,64.565126
0.000000,8.780992,58.482071
0.000000,8.884298,84.389288
0.000000,8.987603,12.017015
0.000000,9.090909,4.188368
0.000000,9.194215,27.311699
0.000000,9.297521,36.731208
0.000000,9.400826,53.980619
0.000000,9.504132,40.742474
0.000000,9.607438,56.980683
0.000000,9.710744,41.493673
0.000000,9.814050,8.002775
0.000000,9.917355,-88.141272
0.000000,10.020661,-39.969113
0.000000,10.123967,-47.057260
0.000000,10.227273,-85.561314
0.000000,10.330579,-50.996468
0.000000,10.433884,-69.808638
0.000000,10.537190,-16.799917
0.000000,10.743802,59.608557
0.000000,10.847107,46.232049
0.000000,10.950413,-5.511637
0.000000,11.053719,24.836413
0.000000,11.157025,47.351366
0.000000,11.260331,71.922329
0.000000,11.363636,-0.323324
0.000000,11.466942,88.133235
0.000000,11.570248,83.252246
0.000000,11.673554,-83.109041
0.000000,11.776860,-5.641057
0.000000,11.880165,-67.812241
0.000000,11.983471,-53.504209
0.000000,12.086777,-36.180580
0.000000,12.190083,-9.255560
0.000000,12.293388,-3.077168
0.000000,12.396694,-8.388557
0.000000,12.500000,-55.818797
0.000000,12.603306,-84.196787
0.000000,12.706612,74.449641
0.000000,12.809917,32.700233
0.000000,12.913223,79.315206
0.000000,13.016529,42.840265
0.000000,13.119835,9.444885
0.000000,13.223140,43.466893
0.000000,13.326446,30.662578
0.000000,13.429752,80.725843
0.000000,13.533058,-75.337083
0.000000,13.636364,75.292780
0.000000,13.739669,67.879571
0.000000,13.842975,62.726447
0.000000,13.946281,74.005399
0.000000,14.049587,69.202912
0.000000,14.152893,75.601375
0.000000,14.256198,83.567294
0.000000,14.359504,76.500148
0.000000,14.462810,88.382869
0.000000,14.566116,78.647447
0.000000,14.772727,-58.904280
0.000000,14.876033,-74.539975
0.000000,14.979339,-66.966072
0.000000,15.082645,-43.703548
0.000000,15.185950,-53.322770
0.000000,15.289256,-54.207004
0.000000,15.392562,-53.783325
0.000000,15.495868,-51.024568
0.000000,15.599174,4.866364
0.000000,15.702479,8.407157
0.000000,15.805785,22.319684
0.000000,15.909091,15.196224
0.000000,16.012397,35.745629
0.000000,16.115702,38.581767
0.000000,16.219008,23.668522
0.000000,16.322314,22.099178
0.000000,16.425620,-8.161421
0.000000,16.528926,-26.835107
0.000000,16.632231,-44.823252
0.000000,16.735537,-2.493120
0.000000,16.838843,-16.832050
0.000000,16.942149,20.137731
0.000000,17.045455,29.383914
0.000000,17.148760,34.337437
0.000000,17.252066,59.345957
0.000000,17.355372,46.777034
0.000000,17.458678,86.857972
0.000000,17.561983,17.850804
0.000000,17.665289,37.849095
0.000000,17.768595,4.471852
0.000000,17.871901,14.176362
0.000000,18.078512,11.520957
0.000000,18.181818,0.832198
0.000000,18.285124,-0.960234
0.000000,18.388430,10.817322
0.000000,18.491736,-19.175386
0.000000,18.595041,-40.174313
0.000000,18.698347,-48.044296
0.000000,18.801653,-49.687096
0.000000,18.904959,-56.156551
0.000000,19.008264,-77.631280
0.000000,19.111570,-58.137957
0.000000,19.318182,-79.042050
0.000000,19.421488,82.255162
0.000000,19.524793,-81.915715
0.000000,19.628099,-83.272627
0.000000,19.731405,80.870720
0.000000,19.834711,51.142208
0.000000,19.938017,72.583055
0.000000,20.041322,51.071485
0.000000,20.144628,67.070008
0.000000,20.247934,82.742030
0.000000,20.351240,-58.304865
0.000000,20.454545,-72.898944
0.000000,20.557851,-68.089972
0.000000,20.661157,-0.245612
0.000000,20.764463,-84.268979
0.000000,20.867769,-16.932270
0.000000,20.971074,-4.483052
0.000000,21.074380,-3.970279
0.000000,21.177686,-20.507337
0.000000,21.280992,-14.789527
0.000000,21.384298,-34.253155
0.000000,21.487603,-87.318218
0.000000,21.590909,-75.695843
0.000000,21.694215,-63.302025
0.000000,21.797521,-1.831929
0.000000,21.900826,-29.105541
0.000000,22.004132,-24.901217
0.000000,22.107438,-41.035633
0.000000,22.210744,-5.776527
0.000000,22.314050,-49.885761
0.000000,22.417355,-59.826388
0.000000,22.520661,-89.976024
0.000000,22.623967,-55.848311
0.000000,22.727273,-47.842455
0.000000,22.830579,-60.917931
0.000000,22.933884,-23.664838
0.000000,23.037190,87.981752
0.000000,23.140496,-61.972296
0.000000,23.243802,-30.785162
0.000000,23.347107,-18.469178
0.000000,23.450413,-31.400429
0.000000,23.553719,-29.321178
0.000000,23.657025,-29.841410
0.000000,23.760331,-6.662908
0.000000,23.863636,-6.178121
0.000000,23.966942,16.133043
0.000000,24.070248,-0.458563
0.000000,24.173554,19.548225
0.000000,24.276860,15.553766
0.000000,24.380165,6.912292
0.000000,24.483471,27.071749
0.000000,24.586777,25.700493
0.000000,24.690083,-12.783812
0.000000,24.793388,-31.411100
0.000000,24.896694,-24.792325
0.000000,25.000000,-37.257645
0.000000,25.103306,-59.758027
0.000000,25.206612,-0.203938
0.000000,25.309917,-3.182587
0.000000,25.413223,-70.121259
0.000000,25.516529,-72.292749
0.000000,25.619835,0.000347
0.000000,25.723140,-44.782880
0.000000,25.826446,-43.436219
0.000000,25.929752,-17.861517
0.000000,26.033058,-2.299112
0.000000,26.136364,-11.961629
0.000000,26.239669,-13.357335
0.000000,26.342975,-48.528510
0.000000,46.797521,81.774346
0.000000,46.900826,21.770039
0.000000,47.004132,41.198302
0.000000,47.107438,22.857976
0.000000,47.210744,36.528783
0.000000,47.314050,48.438375
0.000000,47.520661,-27.451886
0.000000,47.623967,67.877080
0.000000,47.727273,58.562116
0.000000,47.830579,34.898581
0.000000,47.933884,18.405545
0.000000,48.037190,31.506213
0.000000,48.243802,14.723448
0.000000,48.347107,44.259626
0.000000,48.553719,41.988053
0.000000,48.760331,54.663276
0.000000,48.863636,57.010403
